Data,Sentiment
টাইম টরাভেল নিয়ে বই লেখা সহজ নয় পাঠক হিসাবে অতীত অভিজঞতা বলে সময় পরিভরমণ মূল ধরে লেখা গলপগুলোর শেষে লেখক কেন জানি গলপের ছেঁড়া সুতোগুলো জোড়া দিতে পারেন না গলপগুলোর শুরু ভালো হলেও শেষ হয় জোড়া তালি দিয়ে বইয়ের লেখককে ধনযবাদ সুনদর বইয়ের,1
ফালতু অনুবাদ সংসকরণ অরিজিনাল বই বিশেষ সব অংশই বাদ দেয়া হয়েছে পুরোটা টাকাই জলে গেছে বইটা কিনে,0
বইটি কিনুন ভালো লেগেছে,1
মিঃ লিওনারডের কাজের দুরবল উদাহরণ এটি যদিও তারা রেটিং পরিবরতন না,0
দুবার অলরেডি পড়া শেষ যতবার পড়ি ততবার মুগধ হই অলরেডি  টা বনধু বড় ভাইরে গিফট করছি মোটামুটি ফকির হয়ে গেছে তারপরেও আফসোস নেই ভাল বইয়ের হাজার টাকা খরচ বিষয় না,1
যেন হুমায়ূন হুমায়ূনের নিজের বিভিনন বইয়ের বযঙগকারটুন করছিলেন,0
লেখকরা আসলে এক পরযায়ে বনড দাঁত গরিট দাঁত চেপে জেমস বনড কখনই নয়,0
অদভুত বই,0
পুরাই ফাওল তারপরও পড়ে দখতে পারেন হয়ত কাজে লাগলেও লাগতে পারে তবে আপনার মেধা বিকাশের না বিষয়ে কাউকে উপদেশ দেয়া বা লেখার,0
মনে হয় জাফর ইকবালের লেখা কিশোর উপনযাসের মধযে সবচেয়ে সেরা এটি,1
উপায় খুব হারডকোর সকিফি আপনি যদি গলপরেখার শবদটি পছনদ করেন তবে ফরযাঙক হারবারটস ডুনের করনিকলগুলি আরও ভাল,0
অনেক ভালো বই,1
এটা কোনো সাইনস ফিকশন না পুরাই হতাশ,0
ভাল লাগেনি কেবল কয়েকটি অধযায় পড়ুন এটি আমাকে পররোচিত বা উততেজিত নি এটিকে সংসথার বই বিভাগে দিয়েছি,0
চমৎকার বই এইটি শেয়ার বাজার বিষয়ক অনেক অজানা পরশনের উততর এখান সহজে জানতে পারলাম,1
অনেক ভালো লাগেছে জাফর ইকবাল একজন অসাধারণ লিখক,1
এটি ভেরিটাস শিরোনামে আগে পরকাশিত একই বইটি জানতে পেরে খুব মন খারাপ হয় ভাববেন না লেখকের একই বইয়ের বই বিকরয় বাড়ানোর শিরোনাম পরিবরতন করা উচিত সতরক থেকো,0
সতয মিথযার বেড়াজালে এক চমৎকার কাজ অনেকাংশেই তথয বিকৃতিতে ভরপুর উপনযাসের শেষ দিকে একজন সামরিক সবৈরশাসকের গুণগান যা তাদের রাজনৈতিক দলের সলোগানে বযবহৃত হয় তাকেই হুবুহু তুলে দেওয়া হয়েছে উপনযাসকে যদি ইতিহাসের দালিলিক পরমাণ হিসেবে উপসথাপন করা হয় তবে ইতিহাসকেই অপমান করা হবে,0
এটি পরতিদিনের গলপের আরও গলপ এটির অরধেক পথ পেতে পারে নি যা পরতযাশা করেছি তা নয়,0
আবরজনায় একটিও বৈজঞানিক ধারণা নেই কেবল পুনরবযবহৃত সৃষটিবাদী কাদা,0
আতমজঞান লাভের পনথা বইটি আতম জঞান লাভ নিজেকে জানার অসাধারণ বই,1
মযাজিক নিয়ে বই মযাজিক বিষয়ে ইনটারেসট নাই তাই বিভিনন মযাজিকের বরণনামুলক বই শেষ করা তো ভালই কষটকর,0
বইটি পুরাই জুস,1
দুরদানত সকলেই কিনুুন,1
নিঃসনদেহে এটি হ ল কখনই পড়ে দেখেছি সবচেয়ে বড় বইগুলি অরথহীন দুরবল লিখিত অবিশবাসযরকম নিসতেজ আপনি যদি কিছু দুরদানত লেখা চান তবে আইন রযানড চেষটা করুন,0
আশানুরূপ যুকতিসমপনন সমাধান বই পাই বইটায় কভার পেজে যা বলা হয়েছে পরতিফলন বইয়ের ভিতরে লকষয হয় নাই,0
বই বিয়নড দয মযানমেইড ইউনিভারস লেখক তাসরুজজামান বাবু ঘরানা কলপবৈজঞানিক থরিলার পরকাশনী সময় পরকাশন মুদরিত মূলয  টাকা পরথম পরকাশ বইমেলা  পৃষঠা সংখযা  আজকে শেষ করলাম এককথায় বলি জাসট এমাজিং বইটার কনসেপটটা খুবই নিউ আমাদের ইউনিভারসের বাইরে আরেকটা ইউনিভারস থাকতে পারে তা ভাবিইনি ফুল নিউ কনসেপট সাইফাই থরিলার লাইট হরর ফারসট দিকে ভয় পেয়েছি সটারটিংটা বেশ হাসিরও ছিল সব মিলিয়ে দারুণ কমবিনেশন উপসথাপন ফারসট কলাস উইলফোরসের বিষয়টা খুব ভালো লেগেছে মাধযমে অনেক কিছু শেখার আছে রেটিং  ,1
খুব সহজ পড়া উপভোগযোগয লেখক সরবদা পাঠককে দেখতে দেওয়ার চেষটা করেন ভারতে জীবন আমেরিকার চেয়ে কীভাবে আলাদা,0
বইটি সুপারিশ করার মতো বেশি কিছু নয় অনযানয জোন বইগুলি পড়েছি যা তারা জীবনযাতরার পরিবরতনকে আরোপের যেভাবে উপভোগ করেছিল আননদদায়ক ছিল,0
অনেক সুনদর লিখা মনোমুগধকর,1
আপনি যদি মিসির আলীকে চিনতে চান তবে বইটি পড়ুন অনবদয মাসটারপিস,1
খুব ভাললাগসে,1
বই কেনার কী আছে বুঝলাম না দুই চাইরটা জায়গার নাম দেওয়া চেয়ে বেশি তথয তো আমিই জানি দেখুন বাঙলাদেশ বইটা না কিনিয়া এটা কেনার কোনো কারণ নাই যদিও দেখুন বাংলাদেশ বইটাতেও খুব বেশি কিছু নাই,0
ইতিহাস আশরিত মুকতিযুদধ পরবরতী সময়কে উপজীবয দেয়াল রচনা করা হয়েছে সদযসবাধীন জাতির ভাগযকাশের চরম অনিশচয়তার কাল নিয়ে উপনযাসটি হুমায়ূন আহমেদের এক অনবদয সৃষটি বইটি পড়ে খুব ভাল লাগছে,1
অতযনত বাজে অনুবাদ আগে রিভিউ কিনে দেখলে ঠকতে হতো না পরচুর বানান ভুল বুঝতে পারছিনা শেষ করব কীভাবে  পৃষঠা পরযনত অতি কষটে পড়লাম মনে হচছে ইংরেজী পড়াটাই বেটার ছিল হা আমিও একমত অনযদের সাথে এরকম বই লিসটে রাখবেন না বইপরেমীরা এমন বাজে বইয়ের পিছনে টাকা ঢালতে পছনদ করবেনা ভুল কিছু বললে কষমা চাচচি অগরেই,0
এক কথায় অসাধারন বই এমন সব উদাহরণ দিয়ে এমনভাবে বইটি লিখা যা আপনাকে পরোগরামিং মজা নিয়ে শিখতে যথেষট সাহাযয করবে কেবল বইটি পড়লেই বুঝতে পারবেন পরোগরামিং মানেই মজা,1
পৃথিবীর পরথম শরেণীর ফালতু বই গুলার পরথম সমসযা হল বইটা নন ফরী পরোপিয়েটারী সফটওয়যার পরোমোট দবিতীয় সমসযা হল এইটা আউটডেটেড বই,0
বইতে কিছুই হয় না আগের মতো এটি বারবার পড়ার চেষটা করেছি এটির মাধযমে পেতে পারি না হতাশ,0
এটি বাংলাদেশি পরকাশকের বই বইয়ের বাইনডিং কোয়ালিটি থারড কলাস ইনডিয়ান বই নেয়া ভাল,0
উপর মাটিন ভাইয়ের লেখা বই বাংলা ভাষায় সুবিন ভাইয়ের বইয়ের গুলোসহ আরো কিছু আছে তা না দেখলে মিস অযথা বই কিনা লাভ নাই কারণ পাইথন শেখা যদি কারো সতযি সতযি আগরহ থাকে মাটিন ভাইএর ভইটা কিনা উচিত,1
ভালো লাগেনি বইটা খুবই কঠিন লিখা দবিমীক পরকাশনীর বই গুলা অনেক ভালো লেগেছে,0
অকেজো হতাশাজনক করয় বিকরি বনধ মারকিন যুকতরাষটরের ইতিহাসের বছরগুলিতে পরতযেকে নিপীড়ন সবাই কতটা বাজে ছিল সে সমপরকে এটি কেবল বামপনথী চিনতাধারা,0
পরচুর যৌনতা তবে গলপটি কাঙকষিত হওয়ার অনেক কিছু ফেলে দেয় সংলাপটি বিশেষ আকরষণীয় বা আকরষণীয় নয় চরিতরগুলির এত কিছু করি না,0
অসাধারণ লেখনী,0
সাধারণত আরচারগুলি লেখা পছনদ করি তবে বইটি অনেক দীরঘ অনুমানযোগয শেষ পরযনত খুব বিরকতিকর ছিল শেষ পরযনত অনুমানযোগয সিদধানতে পৌঁছতে বিভাগগুলি এড়িয়ে গেলাম,0
উপায় উপায় উপায় খুব তথয কিছুই আগে জানি না তাই এটি সময় অপচয় হিসাবে বিবেচনা,0
সটরাইডার সমপরকে খুব ভাল চরিতর গলপ বিশেষতব শেরিলেন কেনিয়নের গলপ,0
নিজের অবসথান বুঝতে পারার একবার হলেও পড়া দরকার বইটি ধনযবাদ আয়মান সাাদিক অনতিক মাহমুদ সপেশালি রকমারিকে ধনযবাদ বইটি পৌছে দেয়ার,1
এমনকি পরথম দমপতি অধযায়গুলির মধয দিয়ে যেতে পারিনি হয় এটির সাথে দীরঘায়িত হইনি বা গলপটি অদভুত ছিল,0
কদরয মেয়েরা কখনও জাতীয় ললিফগুলি সমপরকে পড়তে চাই না কিশোর বা কারওর পকষে ভাল উদাহরণ নয়,0
একটু আগে পড়ে শেষ করলাম কাহিনী টা কাছে দারুন লেগেছে সাথে থরিলার তো ছিলই আমাদের সমাজ নিয়ে লেখকের সচেতনতাও ফুটে উটেছে অপরাজনীতি ইয়াবার কোপানলে পড়া যুবসমাজ আধুনিক পোলাপাইন এগুলোকে কাহিনীতে খুব ভালোভাবে তুলে ধরতে পেরেছেন মোট কথা বইটা খুব ভালো লেগেছে,1
পরচছদটি সব বলে দেয় আপনি কেবল ঘোড়ার দড়াদড়ি দেখতে পাবেন বইটি যদি সিবুসকিট বলা হয় তবে ঘোড়ার কভারে রাখুন কোনও রেসের পরিসংখযানও নেই,0
বইতে সকল বিজঞানীদের নিয়ে লেখা আছে তাঁরা সকলে আমাদের গরব তাদের বিষয়ে আমাদের সকলের জানা একানত পরয়োজন ধনযবাদ লেখক অতনু চকরবরততীকে,1
আগা মাথাহীন কাহিনী এখানে বলা হয়েছে এটা অনধকার যুগের কাহিনী অনধকার যুগ তো কিছুই বুঝলাম না,0
দুঃখিত এটি কিনেছি এটি কিশোর কিশোরীদের কাছে বোধগময বিরকতিকর অপরয়োজনীয় হবে,0
পুরো বইটি বইটি পড়তে পারি নি সারবকষণিক বযবহার করা বিবাহিত মহিলাদের পরে লালসার পরধান চরিতর ইউকিউ,0
যার ক যালকুলাস বোঝার দরকার নাই সেও উপকৃত হবে মোটকথা মজা পাবে সসতা এনটারটেইনমেনট বইটা পড়ে নিন সময় আননদময় কাটবে লিখে দিলাম চমক ভাইয়া মানেই বিশেষ কিছু পরচছদটাই পরমাণ,1
এটি অমর একুশে গরনথমেলা বেসট সেলার বই,1
বই টা পড়ে অনেক ভালো লাগলো রকম বই আরো লেখা দরকার,1
খুবই ভাল বই,1
পাতলা কে পড়তে চাইছিলাম না আবার চেষটা করব ডারলেন তিনি দুরদানত ছেলে,0
 শে এপরিল  বইটি অরডার করেছেন তবে এখনও এটি পান নি অসাধুতা শাসন,0
বৈজঞানিক কোনও বিজঞানী নৈতিকতা নিয়ে গবেষণা করছেন বৈজঞানিক গবেষণাগুলি উপসথাপনে অনৈতিক হবে কাজের পেছনের চরিতরটি কেবল সমসযাযুকতই নয় সামগরী নিজেই সমসযাযুকত,0
জাফর ইকবাল সযারের লেখা সবচেয়ে বাজে বইগুলোর তালিকা করলে সেরিনা পরথম তিনটির মাঝেই থাকবে যদিও সযার বইয়ের শুরুতে নিজেই বলে দিয়েছেন রুশ লেখক আলেকজানডার বেলায়েভের অমর গরনথ দয অযামপবিয়ান মযান বই লেখার অনুপরেরণা পেয়েছেন তারপরও পড়তে গিয়ে দুটো বইয়ের মাঝে এতটা মিল পাবো তা আশা করিনি যেন রুশ বইটার বাংলাদেশী সংসকরণ সেই সাথে জাফর সযারের সবভাব সুলভ বাচচাকাচচাদের অযাডভেঞচার বযাস হল এক কথায় সেরিনা সতযি বলতে খুব হতাশ বইটি পড়ে,0
বইটি যুগোপযোগী অসাধারন খুব ভালো লেগেছে,1
বনধু রাশেদ পরিয় বইগুলোর বইটি কতবার পড়েছি তা নিজেও জানি না,1
অসাধারণ হইছে বইটি পড়ে খুব ভালো লেগেছে আসলে বইটি পড়ে অনেক কিছু শিখতে পেরেছি এমন বই আরো চাই,1
আজকেই পড়া শেষ করলাম এক কথায় অসাধারণ লেখকের আগের লেখা জাদুকাঠি বইটি পড়েই অপেকষা করছিলাম নতুন লিখছেন লেখককে চিনিনা কিনতু লেখার ধরন অতি সরল অযথা বা অবানতর কথা কম যেটুকু দরকার সেভাবেই লেখা পরচুর এগজামপল দিয়েছেন ওয়ারকশিটও আছে বুঝলাম কেন চাপ ফিল করি কিভাবে চাপ ডিল করব টুলস টেকনিকগুলো খুব ইফেকটিভ মনে হয়েছে বাংলায় এরকম বই যেকারও উপকারি লেখককে ধনযবাদ আশা করছি আরো লিখবেন সাইকোলজিকযাল বই খুব পরয়োজন বিদেশি বইয়ের বাংলা অনুবাদ আসলে বাংগালিকে বুঝতে পারে না,1
শুধু গলপে বা লেখক পরবেশ করতে পারেনি কাছে সুপারিশ এসেছে তবে কাপের চা নয় হারড পড়তে অনুসরণ করতে,0
মিসির আলী সিরিজের অষটম বই পড়ে খুবই হতাশ হয়েছি কেবলই মনে হয়েছে নিছক গলপকে অযথাই টেনে টুনে দীরঘ করা হয়েছে গলপের কাহিনী একদমই আনাড়ি মনে হলেও বরাবরের মতই হুমায়ুন আহমেদের লেখনী ছিল চমৎকার,0
আসলে বইটা খুবই মনে ধরার মত কেউ বইয়ের অবলমবনে বানানো সিনেমা দেখে বইটিকে জাজ করতে পারবেন না কারন সিনেমাটা খুবই সাদামাটা বানানো হয়েছে অথচ বইটি এতই ভালো একবার পড়লে হবে না বার বার পড়তে মন চাইবে,1
এত অসাধারণ বই জীবনে পরিনি এক নিসতবধতা বিদীরণ করেছে আমাকে এতো সুনদর বই জীবন টা অাজ খুবই গুরুতবপূরণ মনে হয়েছে বইটি পড়তে গিয়ে,1
বাংলা ভাষাকে অপমানের বই যথেষট,0
বইটি সমপরকে এককথায় বলতে গেলে বলতে হবে অসাধারণ বইটি পড়ে নিজেকে অনযরকম লাগছে সতযি বইটি পরশংসার দাবীদার অরডার করার পরদিনই বইটি হাতে পাই বইটির কোয়ালিটি কাগজ বাধাই ছাপা যথেষট মানসমপনন মজবুত সনতুষটজনক সারভিসের রকমারিকে ধনযবাদ,1
অনেক দরকারী বই বাংলা ভাষায় এরকম বইয়ের অভাব রয়েছে লেখককে ধনযবাদ জানাই বইটির,1
বইয়ের পাতায় পাতায় এতো পরেম থাকলে হজম করা একটু কঠিন একটু না আসলে ভালোই কঠিন বিশাল পরেমময় বই অথবা বলা ভাল বিশাল পযারাময় বই,0
কমপিটার ইঞজিনিয়ারিং নিয়ে পডা ছাতরদের অনেক দরকারী বই বিশেষ যাদের এলগরিদম গরাফ থিউরী আসে তাদের,1
বোগাস বই টাকা নষট,0
বই রিভিউ দেখে পাগলা হয়ে কিনলাম কিনতু মনটাই খারাপ হয়ে গেল লেখক সাইনস ফিকশন লেখছেন নাকি লাভ সটোরি লাভ সটোরিতেও মনে হয় এক মেয়ের বরননা গোটা  পৃষঠা জুড়ে থাকে না গলপ টা হয়ত খারাপ না কিনতু একই বরননা বার বার সাইনস ফিকশনের সাথে যায় না সতযি কার অরথে সাইনস ফিকশন টাও সাইনস মান দনডে একে বারে খুব ভাল না যেহেতু অনেকে ভাল রিভিউ দিয়েছে সেহেতু মতামত বলব মোটা মোটি গলপ হয়ছে মোটেও ভাল সাইনস ফিকশন হয় নি একই কথার পুনরাবৃততি খুবই বেশি,0
বইটি অনেক ভালো পরে ভালো লাগলো,1
মাসুদা সুলতানা রুমী বাংলা ভাষায় ইসলামী সাহিতয লেখকদের অনতম একজন একজন মহিলা লেখিকা এত চমৎকার লিখেন যা লেখা না পড়লে বুঝা কখনও সমভব না,1
অসমভব সুনদর বই লেখক যানতরিকতার সাথে মানবিকতা এমন সুনিপূনভাবে মিশিয়েছেন যেকোন মানব হৃদয় গলে যাবে পড়া সেরা বইগুলোর মধযে যদি টি বইয়ের নাম বলতে আমাকে বলা হয় মধযে নিহির ভালবাসা থাকবে আরো চমৎকার কিছু সায়েনস ফিকশনের অপেকষায়,1
বইটা খুবই ভাল বাংলাদেশের মুকতিযুদধের ইতিহাস সমনধে জানতে পারবে,1
বাহ যা পেলাম না এটিও ফেরেশতাদের সমপরকে এমনকি হারপার মনোগরামের অধীনেও দেখেছি এটি সেখানে নেই,0
চমৎকার বই সবার অবশয পাঠয নেতিবাচকতাকে বাদ দিয়ে ইতিবাচকতার দিকে যেতে হলে অবশযই পড়তে হবে সুনদর ঝরঝরে অনুবাদ,1
শবদশৈলীর মত পরকাশনী কিংবা রকমারির মত এত বড়মাপের সাইট কিভাবে এরকম বই পরকাশ বোধগময নয় সব কনটেনট ই কযাব সহ অনযানয বলগ কপি করা আরও খোজ নিয়ে গরুপ জানতে পারলাম লেখক নাকি কিশোর এক ছেলে তাকে অবজঞা করছি না ম শরেণীর একজন ছাতর বই লেখলেও খুশি হব যদি তা ভাল হয় কিনতু যার নিজের আইডিয়াই নাই বিজনেস সে বিজনেস নিয়ে বই লিখেছে তাও সব কপি যা বইমেলা লেখক সমাজ খুবই লজজাজনক একজন লেখক হিসেবে মাসুদ আনসারির পরামরশ রইল কপি বই পরকাশ করবেন না ভুল তথয দিয়ে মানুষকে বই বিমুখ করবেন না জানুন বুঝুন শিখুন তারপর লিখুন এতে আপনার উননতি যেমন হবে আপনার পাঠকগণদের ভাল হবে,0
অসাধারন এক বই,1
ভাষা বুঝা খুব কষট হচছে,0
যতটা আশা নিয়ে শুরু করেছিলাম ততটা আশাহত হয়েছি বলব না কিনতু পরতযাশার সাথে পরাপতির অনেক ঘাটতি ছিল লেখক পরচুর গবেষণা লিখেছেন বোঝাই যায় দারুণ পলট হওয়া সততবেও মাঝারি মানের হিসটোরিকাল থরিলার বলতে হবে বযকতিগত রেটিং  ,0
ফালতু কথা বারতা বেশি,0
অডিওবুকটি শোনা উচিত ছিল না বরণনাটি এত খারাপ আপনি যদি রোবোটিকের মধযে কাউকে কথা বলতে শুনতে না চান,0
বেসট জাভা শিখার বই সিরিয়াসলি পরতযেকটি বিষয় ছোট বড় সবকিছুই পানির মত সোজা বুঝানো হয়েছে সতযি বলতে জাভা এতো আননদের মধযে শিখব তা ভাবতেও পারি নাই আগে অনেকবার জাভা শিখার কথা ভাবলেও উলোট পালোট আগোছালো বই পড়ে কঠিন মনে সরে এসেছি বইটা কিনে আলহামদুলিললাহ সমপূরণ টাকা উসুল হইসে ধনযবাদ ভাই এমন বই লিখার,1
বই ডন কুইকসোট নামক একজন কলপনাপরবন মানুষ সমপরকিত তবে অনুবাদেকের বযরথতা কিংবা গলপ শেষ করার ইচছা জানিনা তবে অভিযান হিসেবে গলপটি উততেজনাময় নয় আমাকে অনেকাংশে আশাহত করেছে,0
অনেক ভাল বই লেখক খুব পরাঞজলভাবে উপসথাপন করেছেন সব যারা পরাচীন ইতিহাস আগরহ আছে তাদের এটি লুফে নেয়া উচিৎ,1
যকের ধন এমন উপনযাস যা একবার পড়তে শুরু করলে শেষ না উপায় নেই বিশেষ অযাডভেনঞচারপরেমীদের বইটি অসাধারণ,1
অসাধারণ কিশোর উপনযাস পারসোনালি খুব ভালো লেগেছে সমুদর পাড়ের একজন কিশোরী মেয়ের জীবন জলোচছবাসের সাথে যুদধ টিকে থাকা নিরমম পৃথিবীর সাথে পরিচয় পুরোটাই ভালো লেগেছে,1
বই পড়া শেষ করেনি এটি দীরঘ বিরকতিকর পড়া হিসাবে বিরকতিকর লিখিত ছিল বইয়ের কলাবের কিছু সদসয এটি পছনদ করেছিলেন,0
অসাধারণ বই সকলের একবার হলেও পড়া উচিত,1
গলপ গুলো ভালই লাগল,1
ডযান বরাউনের লেখা নাজিম উদদিনের অনুবাদ পড়ে পুলকিত বাতিঘর পরকাশনীর কলযান কামনা করি,1
মযাটলযাব শেখার দারুন বাংলা বই,1
বযকতিগত আডডায় কেউ একজন অমুক তমুককে কেন পছনদ না সেইটা বইয়ে তুলে আনার কোনো পরয়োজন ছিল না এক চিমটি গো চনার বইটা পড়া শেষে ভাল লাগাটা থাকলো না,0
যখন সে ভয়ঙকর ছোটট টারকির মতো কথা বলে তখন তারা কাঁপতে থাকে করযানবেরি সসের পরয়োজন উদার কিনতু ছেলেটি অদভুত,0
সিডিসহ চমৎকার বই,1
অনেক মজার বই অনেক কিছুই জানার আছে,1
বইটি পরতিশরুতি অনুসারে আসে না এটি পরায় অরধেক পথ পরে বিরকতিকর পথের তিন চতুরথাংশ এটি পড়া বনধ দিয়েছি,0
মনে করি এটি পরেসিডেনট রেগান সমপরকে রচিত সেরা বইগুলির মধযে এটিতে পরিবারের বেশিরভাগ ফটো রয়েছে,0
এককথায় বলতে গেলে বইটি অসাধারণ লেখক অনেক সুনদরভাবে গলপগুলোকে উপসথাপন করেছেন যারা মত ভৌতিক থরিলার রহসয পছনদ করেন তারা বইটিকে নিশচয়ই তাদের পছনদের তালিকায় রাখতে পারেন সতয কথা বলতে বইটি একবার পড়া শুরু করলে শেষ না করা পরযনত অপেকষা করা সহজ ছিলো না বইয়ের কিছু কিছু সথানে রোমহরষক কানডকারখানা ছিলো যা অনেক উপভোগ করেছি মতে যারা ধরনের বই পছনদ করেন তাদের একবার হলেও পড়া উচিত,1
ছোট বেলায় বইটি পড়িনি পড়েছি কলেজে উঠে খুব খারাপ লেগেছিল ভেবে এত সুনদর বইটা কেন আগে পড়িনি বইটি কিনতু মোটেও শুধু ছোটদের নয় যেকোনো পাঠক এক ঝটকায় পরে ফেলতে পারেন ছোটট মজার বইটি,1
বাজে সাইনস ফিকশন পুরা টাকাটাই নষট,0
টরাইট তারিখ ভাল সমকামী উপনযাস পছনদ করি তবে এটি সমসত কষেতরে হতাশ লমপট চকরানত লিঙগ লিঙগ আরো বলতে পারেন,0
সুখপাঠয কিনতু পরচুর বানান ভুল সামনের সংসকরণে শুধরে নেয়া হবে আশা রইল,0
ভূলে ভরা বই বাকযগুলো এত জটিলভালে লেখা যা বুঝতে খুব কষট হয় যেখানে নয় সেখানেই দাড়ি কমা লাগানো সমপূরণ বইতে বানানের ভূল সবমিলে বাজে অবসথা অনুরোধ রকমারি যেন বইটি বিকরয় করা বনধ দেয় এত দাম দিয়ে বই কিনে যদি পড়ার সময় বিরকতি নিয়ে পড়তে হয় দুঃখজনক হতে পারে,0
চমৎকার অনুবাদ গলপের সংকলন ৷ কয়েকটি গলপের অনুবাদ খুবই ভাল লেগেছে ৷ অপুদাকে অনেক ধনযবাদ ৷ শুধু হরর বা সাসপেনস নয় সব কযাটাগরিতেই দকষ অনীশ দাস অপু ৷,1
দারুণ,1
কষুধারত গেমগুলি পড়ার পকষে দৃ ় ছিল লকষযযুকত শরোতা কিশোর বিবেচনা তবে ডাইভারজেনট সিরিজটি শেষের দিকে এগিয়ে গেল জাতীয় হতাশা অপূরণাঙগ টরযাজেডি আইক,0
অনেক সুনদর বই কেউ বইটা পড়ে বিজঞানের আজব রহসয জানতে পারবে বইয়ের পরিয় গলপটা হচছে যালান টিউরি়ং,1
অসমভব ভালো লেগেছে,1
ভাল বই পড়ে ভাল লাগল,1
অনেক ভালো বইটি,1
বেশ মজার,1
সবার কাছ বইয়ের কথা শুনতে শুনতে পাগল হয়ে গিয়েছিলাম বইটা পড়ার যতটা আগরহ নিয়ে পড়তে বসেছি চেয়েও বেশী বিরকত হয়েছি লুতুপুতু টাইপের পরেমের গলপ বই পড়ার বয়স নাই,0
ছেলে মেয়ে বিবাহিত অবিবাহিত সবার অতযনত উপকারী বই,1
একটু পড়ে দেখতে বলসিলো একটু পড়লাম তারপর হড়হড় বমি দিলাম কেনার সাহস পাই নি রিভিউতে নাই গেলাম অনেকে রিভিউ দিছে শুধু এইটুকু বলবো দিনশেষে এদের রিভিউ দিয়ে থামানো যাবেনা এরা কেয়ার নাকে বললো না বললো,0
খুব সুনদর লেখনীর বই,1
